gene_id	gene_name	SYMBOL	ENTREZID	baseMean	log2FoldChange	padj
ENSG00000175538.13	KCNE3	KCNE3	10008	169.155988044937	-1.31972768565598	1.96954731977941e-06
ENSG00000176771.19	NCKAP5	NCKAP5	344148	106.490832507645	-1.77673065837827	1.99326566936165e-06
ENSG00000176890.18	TYMS	TYMS	7298	440.687472093234	-1.22450157455692	2.58112863899427e-06
ENSG00000112715.26	VEGFA	VEGFA	7422	1982.76712855552	-1.1061039754145	2.79293194131368e-06
ENSG00000124134.10	KCNS1	KCNS1	3787	27.7842411720127	-2.83579570703903	2.81850032117573e-06
ENSG00000149633.14	KIAA1755	KIAA1755	85449	257.075810009836	-1.55373805579291	2.81850032117573e-06
ENSG00000130032.18	PRRG3	PRRG3	79057	61.2592393520584	-1.75793846851627	4.27424907483614e-06
ENSG00000168140.7	VASN	VASN	114990	14.3573814489967	-6.80807456606855	4.50468542262225e-06
ENSG00000135744.10	AGT	AGT	183	788.761425821448	-1.11342343382945	5.06232774342567e-06
ENSG00000168811.9	IL12A	IL12A	3592	40.2612020654436	-2.16885298497292	5.67878673770429e-06
ENSG00000119714.13	GPR68	GPR68	8111	52.7916893684831	-2.24158636089543	6.10719914952996e-06
ENSG00000064309.18	CDON	CDON	50937	415.951735576176	-1.47847114219836	6.12475267249918e-06
ENSG00000254726.3	MEX3A	MEX3A	92312	52.2211762898353	-2.08042771100974	6.24914863666673e-06
ENSG00000215386.16	MIR99AHG	MIR99AHG	388815	283.216365290297	-1.22419741027562	8.05816673224755e-06
ENSG00000133069.19	TMCC2	TMCC2	9911	149.722633818849	-1.09600430972941	8.46537175376117e-06
ENSG00000173947.15	CIMAP3	CIMAP3	128344	87.926075139552	-1.51204387493394	9.57091712345389e-06
ENSG00000143494.18	VASH2	VASH2	79805	21.0267393027914	-4.17406168107095	9.72650468294187e-06
ENSG00000187634.15	SAMD11	SAMD11	148398	88.9174181554499	-2.21103338485041	1.00180901848443e-05
ENSG00000168843.16	FSTL5	FSTL5	56884	84.3631298812944	-1.66168359881485	1.20186906601e-05
